479650,1.264,-13.175,-5.132
479700,2.221,-9.306,-9.115
479750,10.072,-17.196,3.983
479800,-3.179,-7.660,-0.460
479850,6.051,-7.162,1.340
479900,-0.804,-10.877,1.034
479950,4.864,-8.847,-1.685
480050,3.409,-8.770,0.498
480100,0.077,-8.923,-1.149
480150,0.919,-11.949,-1.877
480200,1.379,-11.451,-0.881
480250,0.843,-11.681,-0.766
480300,8.617,-12.217,1.072
480350,7.736,-12.983,-0.766
480400,2.068,-10.609,-3.102
480450,1.034,-8.158,-0.077
480500,4.021,-2.183,1.187
480550,2.604,-4.596,-2.221
480600,2.145,-4.711,-1.762
480650,1.494,-12.332,-5.132
480700,-0.115,-15.702,-9.345
480750,2.451,-11.145,5.515
480800,5.975,-9.498,-8.541
480850,5.668,-3.140,5.285
480900,2.489,-10.838,-0.421
480950,1.379,-8.272,1.647
481000,4.596,-8.158,-1.302
481050,2.413,-8.541,0.919
481100,3.294,-9.383,-0.881
481150,0.000,-10.877,0.077
481200,1.149,-11.413,-0.268
481250,2.528,-12.983,-1.340
481300,2.911,-9.919,-0.651
481350,9.230,-12.562,3.255
481400,5.821,-11.413,-3.217
481450,1.609,-9.958,-1.992
481500,4.136,-7.813,0.498
481550,4.404,-3.370,-0.613
481600,2.145,-4.596,-1.877
481750,3.370,-13.175,-11.758
481800,4.136,-7.238,5.055
481850,4.443,-12.255,-1.685
481900,2.987,-3.945,6.664
481950,5.668,-10.149,-1.149
482000,2.796,-8.426,0.115
482050,3.983,-7.583,-0.804
482100,1.187,-8.847,1.034
482150,2.413,-9.230,0.536
482200,0.383,-10.877,-0.689
482250,2.145,-11.719,-0.268
482300,2.106,-13.443,-1.570
482350,1.877,-10.111,-1.302
482400,10.379,-13.481,4.519
482450,4.749,-10.532,-2.336
482500,1.340,-9.192,-1.455
482550,3.600,-4.213,-0.115
482600,3.332,-4.213,-0.000
482650,2.298,-4.175,-1.494
482700,1.302,-13.787,-7.966
482750,-0.996,-9.306,-5.170
482800,11.106,-15.396,7.085
482850,2.030,-7.889,-9.651
482900,6.817,-3.255,5.745
482950,0.230,-12.753,0.766
483000,3.332,-7.430,2.298
483050,4.481,-8.541,-0.191
483100,2.911,-8.962,0.728
483150,0.881,-10.187,-1.302
483200,0.268,-12.141,-0.191
483250,1.685,-12.026,-1.800
483300,1.455,-13.481,-2.068
483350,6.549,-9.958,-2.489
483450,2.681,-10.992,-2.872
483500,2.183,-8.081,-0.651
483550,4.289,-3.370,1.532
483600,2.872,-4.328,0.077
483650,1.647,-5.592,-3.140
483700,1.877,-11.221,-5.477
483750,2.566,-14.132,-13.749
483800,7.660,-12.907,4.902
483850,2.374,-9.038,-2.911
483900,5.362,-3.485,7.506
483950,2.719,-11.336,-2.911
484000,1.570,-8.732,1.570
484050,4.672,-9.881,-2.068
484100,3.255,-9.268,1.915
484150,2.757,-9.421,-0.919
484200,0.881,-10.264,-1.226
484250,2.757,-10.838,-2.566
